Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V)
414155,258.5,954.899,3.694
414155.2,261,963.873,3.693
414155.4,263.5,973.237,3.6935
414155.6,214.5,792.578,3.695
414155.8,211,779.539,3.6945
414156,208.5,770.199,3.694
414156.2,213.5,788.562,3.6935
414156.4,215.5,795.411,3.691
414156.6,217,801.706,3.6945
414156.8,221,816.595,3.695
414157,218,805.728,3.696
414157.2,217,801.598,3.694
414157.4,220,812.13,3.6915
414157.6,218,804.638,3.691
414157.8,218,805.401,3.6945
414158,219.5,810.943,3.6945
